Material,ID, params,cbm,vbm,gap
Si,1002,siband,-3.1240,-4.2610,1.1370
Si,1002,matsci,-2.8910,-5.2270,2.3360
Si,1002,pbc,-3.2820,-4.3520,1.0700
Si,1002,hyb,-3.2820,-4.3520,1.0700
Si,1002,PTBP,-3.3420,-4.1910,0.8490
SiC,8118,matsci,-3.8450,-6.9370,3.0920
SiC,8118,pbc,3.9690,-1.7520,5.7210
SiC,8118,PTBP,-1.6020,-4.0280,2.4260
SiC,8158,matsci,-4.9980,-7.0910,2.0930
SiC,8158,pbc,4.0390,-1.7350,5.7740
SiC,8158,PTBP,-2.5660,-4.0990,1.5330
SiC,107,matsci,-4.2520,-7.0080,2.7560
SiC,107,pbc,4.0020,-1.8010,5.8030
SiC,107,PTBP,-1.9270,-4.0820,2.1550
SiO2,41,siband,3.2020,-7.8840,11.0860
SiO2,41,matsci,0.1710,-8.6690,8.8400
SiO2,41,pbc,4.9870,-4.4200,9.4070
SiO2,41,PTBP,0.8960,-6.1550,7.0510
SiO2,34674,siband,2.4960,-6.8620,9.3580
SiO2,34674,matsci,-0.1980,-8.5100,8.3120
SiO2,34674,pbc,5.0070,-4.5460,9.5530
SiO2,34674,PTBP,0.7110,-6.2520,6.9630
GaAs,1174,hyb,-1.1190,-3.3430,2.2240
GaAs,1174,PTBP,-4.4070,-5.1540,0.7470
Cu,867,matsci,-1.8430,-1.8670,0.0240
Cu,867,PTBP,-3.2560,-3.2610,0.0050
Al,816,matsci,-3.9190,-3.92800.0090
Al,816,PTBP,-5.0470,-5.0840,0.0370
Ti,1029,matsci,-5.6740,-5.6770,0.0030
Ti,1029,tiorg,-5.5390-5.5410,0.0020
Ti,1029,trans3d,-5.7080,-5.7090,0.0010
Ti,1029,PTBP,-5.1620,-5.1640,0.0020
C,91,matsci,2.6910,-5.1210,7.8120
C,91,auorg,2.1520,-4.6970,6.8490
C,91,halorg,2.1390,-4.6960,6.8350
C,91,mio,2.1530,-4.6980,6.8510
C,91,pbc,2.1530,-4.6970,6.8500
C,91,PTBP,2.7540,-4.5530,7.3070
Au,825,auorg,-2.0580,-2.2400,0.1820
Au,825,PTBP,-3.2080,-3.2220,0.0140
AlP,1327,matsci,-3.0740,-5.2790,2.2050
AlP,1327,PTBP,-3.0450,-5.2660,2.2210
ZnO,1195,znorg,-0.3290,-4.2760,3.9470
ZnO,1195,PTBP,-2.5310,-4.1400,1.6090
ZrO2,113,dftb2,
ZrO2,113,PTBP
Al2O3,32,matsci
Al2O3,32,PTBP
